id,gender,needs-review,notes
1797:18,Unknown,,
1797:19,Unknown,,
1797:20,Unknown,,
1797:21,Unknown,,
1797:22,Unknown,,
1797:23,Woman,,
1797:24,Man,,
1797:25,Man,,
1797:26,Woman,,
1797:27,Woman,,
1797:28,Man,,
1797:29,Man,checked,
1797:30,Woman,,
1797:31,Woman,,
1797:32,Woman,,
1797:33,Woman,,"Same as 1797:32
"
1797:34,Woman,,
1797:35,Man,,
1797:36,Man,,"Same as 1797:35
"
1797:37,Man,,
1797:38,Man,checked,
1797:39,Man,checked,
1797:40,Man,checked,
1797:41,Woman,,
1797:42,Woman,,
1797:43,Unknown,,
1797:44,Woman,,
1797:45,Man,,
1797:46,Woman,,
1797:47,Woman,,
1797:48,Woman,,
1797:49,Woman,,
1797:50,Man,,
1797:51,Woman,,Two sisters
1797:52,Woman,,Sister (Margaret Lee) from 1797:52
1797:53,Man,,
1797:54,Unknown,checked,
1797:55,Man,,
1797:56,Woman,,
1797:57,Woman,,Same as 1797:57
1797:58,Man,checked,
1797:59,Man,,
1797:60,Woman,,
1797:61,Woman,,
1797:62,Woman,,"Same as 1797:61
"
1797:63,Woman,,
1797:64,Man,,
1797:65,Woman,,
1797:66,Woman,,Same as 1797:65
1797:67,Woman,,
1797:68,Man,,
1797:69,Woman,,Two women (sisters)
1797:70,Woman,,
1797:71,Woman,,
1797:72,Woman,,
1797:73,Woman,,Same as 1797:72
1797:74,Man,,
1797:75,Woman,,
1797:76,Man,,
1797:77,Man,,
1797:78,Man,,
1797:79,Man,,
1798:1,Unknown,,
1798:2,Woman,,
1798:3,Unknown,,
1798:4,Unknown,,
1798:5,Unknown,,"""Translated from a Spanish manuscript"""
1798:6,Unknown,,
1798:7,Unknown,,
1798:8,Man,checked,
1798:9,Unknown,,
1798:10,Unknown,,
1798:11,Unknown,,
1798:12,Unknown,,
1798:13,Unknown,,
1798:14,Woman,,
1798:15,Woman,,
1798:16,Woman,,
1798:17,Man,,
1798:18,Man,checked,
1798:19,Man,,
1798:20,Woman,,
1798:21,Woman,,
1798:22,Woman,,"Same as 1798:21
"
1798:23,Woman,,
1798:24,Woman,,
1798:25,Unknown,,
1798:26,Unknown,,
1798:27,Woman,,
1798:28,Woman,,
1798:29,Man,,
1798:30,Woman,,
1798:31,Woman,,
1798:32,Woman,,
1798:33,Woman,,
1798:34,Woman,,
1798:35,Man,,
1798:36,Man,,Same as 1798:35
1798:37,Man,,
1798:38,Man,,
1798:39,Woman,,
1798:40,Man,,
1798:41,Unknown,,
1798:42,Man,,
1798:43,Man,,
1798:44,Man,,
1798:45,Woman,,
1798:46,Woman,,
1798:47,Woman,,"Same as 1798:46
"
1798:48,Woman,,
1798:49,Woman,,
1798:50,Man,,
1798:51,Woman,,
1798:52,Woman,,
1798:53,Woman,,
1798:54,Woman,,
1798:55,Woman,,
1798:56,Woman,,Not sure if same author as 1798:55
1798:57,Woman,,Same as 1798:56
1798:58,Woman,,
1798:59,Woman,,
1798:60,Man,,
1798:61,Woman,,
1798:62,Unknown,,
1798:63,Woman,,
1798:64,Woman,,
1798:65,Man,checked,
1798:66,Woman,,
1798:67,Woman,,
1798:68,Man,,
1798:69,Man,,
1798:70,Man,,
1798:71,Woman,,
1798:72,Man,,
1798:73,Woman,,
1798:74,Woman,,
1798:75,Woman,,
1799:1,Unknown,,
1799:2,Woman,,
1799:3,Unknown,checked,
1799:4,Unknown,,
1799:5,Unknown,,
1799:6,Unknown,,
1799:7,Unknown,,
1799:8,Unknown,,
1799:9,Unknown,,
1799:10,Unknown,,
1799:11,Woman,,
1799:12,Unknown,,
1799:13,Woman,,
1799:14,Unknown,,
1799:15,Woman,,
1799:16,Unknown,,
1799:17,Unknown,,
1799:18,Woman,checked,
1799:19,Unknown,,
1799:20,Woman,checked,
1799:21A,Man,,
1799:21B,Man,,Same as 1799:21A
1799:22,Man,,
1799:23,Man,,
1799:24,Man,,
1799:25,Man,,
1799:26,Woman,,
1799:27,Woman,,
1799:28,Woman,,
1799:29,Woman,,
1799:30,Man,,
1799:31,Man,,
1799:32,Man,,
1799:33,Man,,Samea s 1799:32
1799:34,Man,,
1799:35,Man,checked,
1799:36,Man,,
1799:37,Man,,
1799:38,Woman,,
1799:39,Woman,,Same as 1799:38
1799:40,Woman,,
1799:41,Woman,,Same as 1799:40
1799:42,Man,,
1799:43,Woman,,
1799:44,Woman,,
1799:45,Woman,,
1799:46,Woman,,
1799:47,Woman,,
1799:48,Man,checked,
1799:49,Man,,Translator; same as 1799:48
1799:50,Woman,,
1799:51,Man,,
